"Raggruppamenti sulla base del domicilio delsoggetto positivo SARS-CoV-2","TOTALE CASIcon tamponepositivo -datocumulativo","Δ Totale casipositivi","Casiattualmentepositivi","Deceduti (inospedale +extra-ospedale) -datocumulativo","Negativizzativirologici -datocumulativo",,"Soggetti inISOLAMENTODOMICILIARE(dato del 18.05ore 20.00)"
Padova (escluso domiciliati Vo'),3830,+2),261,270,3299,,339
Cluster domiciliati Comune di Vò,88,0,1,3,84,,
Treviso,2645,+1),686,303,1656,665,
Venezia,2638,+2),256,275,2107,530,
Verona,5042,+2),1239,528,3275,953,
Vicenza,2825,+1),643,299,1883,446,
Belluno,1153,0,308,105,740,530,
Rovigo,440,0,71,34,335,176,
Domicilio fuori Veneto,309,-2,138,13,158,,
Assegnazione in corso,33,0,33,0,0,,
"",,,,,,,,
Struttura di ricovero,"Pazientiattualmentepositivi in AREANON CRITICA","Pazientiattualmentepositivi inTERAPIAINTENSIVA","dimessi dal 21.2^","decessi dal21.2*^",,"Δ pazientiattualmentepositivi  in areanon critica","Δ  pazientiattualmentepositivi in Ter Int",Δ decessi
ULSS 5 - Ospedale Rovigo,1,0,26,5,0,0,0,
ULSS 5 - Ospedale Trecenta °,7,0,36,26,0,0,0,
ULSS 5 - Ospedale Adria,0,0,5,0,0,0,0,
ULSS 6 - Ospedale Schiavonia °,15,1,271,104,-2,-1,0,
ULSS 6 - Ospedale Piove di Sacco,0,0,2,0,0,0,0,
ULSS 6 - Ospedale Cittadella,0,0,2,7,0,0,0,
ULSS 6 - Ospedale Camposampiero,3,0,3,7,+1),0,0,
ULSS 6 - Ospedale Conselve,0,0,0,0,0,0,0,
Casa di cura Villa Maria (PD),0,0,1,0,0,0,0,
ULSS 7 - Ospedale Santorso °,26,0,243,81,0,0,+1),
ULSS 7 - Ospedale Bassano,0,0,20,13,0,0,0,
ULSS 7 - Ospedale Asiago,0,0,8,11,0,0,0,
ULSS 8 - Ospedale Vicenza,23,2,139,100,0,+1),0,
ULSS 8 - Ospedale Noventa Vicentina,0,0,58,2,0,0,0,
ULSS 8 - Ospedale Arzignano,0,0,0,1,0,0,0,
ULSS 8 - Ospedale Valdagno,0,0,23,5,0,0,0,
ULSS 9 - Ospedale Legnago,0,1,69,49,0,0,0,
ULSS 9 - Ospedale San Bonifacio,4,0,30,26,+1),0,0,
ULSS 9 - Ospedale Villafranca °,31,1,181,108,-1,0,+1),
ULSS 9 - Ospedale Marzana,11,0,50,8,+1),0,0,
ULSS 9 - Ospedale Bussolengo,17,0,55,3,0,0,0,
ULSS 9 - Ospedale San Biagio di Bovolone,0,0,0,0,0,0,0,
Ospedale Sacro Cuore Don Calabria-Negrar,10,2,132,36,0,0,0,
Ospedale P. Pederzoli-Peschiera,6,2,98,38,0,0,0,
Istituto Oncologico Veneto,0,0,2,1,0,0,0,
Struttura di ricovero,"Pazientiattualmentepositivi",dimessi dal 21.2^,"decessi dal 21.2*^",,"Δ paz.attualmentepositivi",Δ decessi,
Ospedale di Comunità Belluno (BL),9,28,17,,-1,0,
Ospedale di Comunità  Agordo (BL),10,24,1,+1),0,,
Ospedale di Comunità Alano di Piave (BL),0,0,0,0,0,,
Ospedale di Comunità di Castelfranco  (TV),0,5,0,0,0,,
Struttura COVID - Vedelago (TV),11,36,4,0,0,,
Struttura COVID - Ormelle (TV),0,24,4,0,0,,
Ospedale di Comunità Vittorio Veneto (TV),10,37,2,+1),0,,
Ospedale di Comunità SS. Giovanni e Paolo (VE),0,0,0,0,0,,
Ospedale di Comunità Casa di Cura Rizzola (VE),0,11,1,0,0,,
Ospedale di Cinto Caomaggiore (VE),1,0,0,0,0,,
Ospedale di Comunità Villa Maria (PD),2,36,1,-3,0,,
Ospedale di Comunità Conselve (PD),0,0,0,0,0,,
Ospedale di Comunità Camposampiero (PD),5,19,1,-1,0,,
Ospedale di Comunità Montagnana (PD),0,0,0,0,0,,
Ospedale di Comunità Marostica (VI),8,13,5,0,0,,
Ospedale di Comunità Valeggio sul Mincio,0,0,0,0,0,,
TOTALE RICOVERATI POSITIVI,56,233,36,,-3,0,
