"Raggruppamenti sulla base del domicilio del
soggetto positivo SARS-CoV-2","TOTALE CASI
con tampone
positivo -dato
cumulativo","Δ Totale casi
positivi","Casi
attualmente
positivi","Deceduti (in
ospedale +
extra-ospedale)
-dato
ULSS 3 - Ospedale Mestre,5,-2,6,0,10,78,39,+1)
ULSS 3 - Ospedale Venezia,4,0,0,0,4,27,14,0
ULSS 3 - Ospedale Mirano,0,0,1,0,1,9,9,0
ULSS 3 - Ospedale Dolo °,83,0,3,-1,20,99,86,+2)
ULSS 3 - Ospedale Chioggia,0,0,0,0,0,2,3,0
ULSS 3 - Ospedale di Noale,0,0,0,0,0,0,2,0
Ospedale Villa Salus (VE)°,36,0,0,0,6,86,8,0
ULSS 4 - Ospedale Jesolo °,26,0,5,0,16,75,25,0
ULSS 4- Ospedale San Donà,0,-1,0,0,0,0,0,0
Casa di Cura Rizzola,0,-1,0,0,0,16,1,0
ULSS 5 - Ospedale Rovigo,2,+1),0,0,2,23,5,0
ULSS 5 - Ospedale Trecenta °,29,-6,3,-1,12,21,24,0
ULSS 5 - Ospedale Adria,4,+2),0,0,4,1,0,0
ULSS 6 - Ospedale Schiavonia °,67,+1),5,-1,12,242,99,0
ULSS 6 - Ospedale Piove di Sacco,0,0,0,0,0,1,0,0
ULSS 6 - Ospedale Cittadella,1,0,0,0,0,2,7,0
ULSS 6 - Ospedale Camposampiero,5,+2),0,0,5,3,7,0
ULSS 6 - Ospedale Conselve,1,0,0,0,1,0,0,0
ULSS 7 - Ospedale Santorso °,110,0,5,0,51,151,66,+1)
ULSS 7 - Ospedale Bassano,1,+1),0,0,0,20,13,0
ULSS 7 - Ospedale Asiago,0,0,0,0,0,8,11,+1)
ULSS 8 - Ospedale Vicenza,38,+4),5,-4,8,114,91,0
ULSS 8 - Ospedale Noventa Vicentina,20,0,0,0,10,39,2,0
ULSS 8 - Ospedale Arzignano,0,0,0,0,0,0,1,0
ULSS 8 - Ospedale Valdagno,0,0,0,0,0,24,5,0
ULSS 9 - Ospedale Legnago,27,-1,2,-1,13,62,49,+1)
ULSS 9 - Ospedale San Bonifacio,11,+2),0,0,3,22,25,0
ULSS 9 - Ospedale Villafranca °,88,-2,9,+1),12,144,88,0
ULSS 9 - Ospedale Marzana,52,0,0,0,30,33,4,0
ULSS 9 - Ospedale Bussolengo,23,-1,0,0,7,36,3,0
ULSS 9 - Ospedale San Biagio di Bovolone,3,0,0,0,3,0,0,0
Ospedale Sacro Cuore Don Calabria-Negrar,32,0,4,0,18,120,33,0
Ospedale P. Pederzoli-Peschiera,37,-2,2,+1),16,82,39,0
Istituto Oncologico Veneto,0,0,0,0,0,2,1,0
TOTALE REGIONE VENETO,912,-14,90,-8,361,2766,1216,+9),
Struttura di ricovero,"Pazienti
presenti^",Δ paz. presenti,"Negativizzati
virologici
attualmente
ricoverati**",dimessi dal 21.2,"decessi dal
21.2*",Δ decessi,
Ospedale di Comunità Belluno (BL),13,0,2,25,13,0,
Ospedale di Comunità  Agordo (BL),25,0,4,14,1,0,
Ospedale di Comunità di Castelfranco  (TV),2,0,0,3,0,0,
Struttura COVID - Vedelago (TV),20,+4),8,31,3,0,
Struttura COVID - Ormelle (TV),0,0,0,24,4,0,
Ospedale di Comunità Vittorio Veneto (TV),17,+1),10,28,2,0,
Ospedale di Comunità Casa di Cura Rizzola (VE),0,-1,0,11,1,0,
Ospedale di Cinto Caomaggiore (VE),3,0,2,0,0,0,
Ospedale di Comunità Villa Maria (PD),8,-1,5,30,1,0,
Ospedale di Comunità Camposampiero (PD),10,-3,6,15,1,0,
Ospedale di Comunità Marostica (VI),16,+2),4,10,3,0,
