"Raggruppamenti sulla base del domicilio del
soggetto positivo SARS-CoV-2","TOTALE CASI
con tampone
positivo -dato
cumulativo","Δ Totale casi
positivi","Casi
attualmente
positivi","Deceduti (in
ospedale +
extra-ospedale)
-dato
ULSS 3 - Ospedale Mestre,13,0,3,0,10,76,38,0
ULSS 3 - Ospedale Venezia,4,-1,0,0,4,27,14,0
ULSS 3 - Ospedale Mirano,1,0,0,0,1,9,9,0
ULSS 3 - Ospedale Dolo °,78,+4),9,0,19,90,73,+1)
ULSS 3 - Ospedale Chioggia,1,0,0,0,1,1,3,0
Ospedale Villa Salus (VE)°,34,0,0,0,6,86,8,0
ULSS 4 - Ospedale Jesolo °,29,0,4,0,15,73,25,0
ULSS 4- Ospedale San Donà,0,0,0,0,1,0,0,0
Casa di Cura Rizzola,4,0,0,0,1,14,1,0
ULSS 5 - Ospedale Rovigo,1,0,0,0,1,23,5,0
ULSS 5 - Ospedale Trecenta °,35,0,4,0,11,17,24,0
ULSS 5 - Ospedale Adria,2,0,0,0,2,1,0,0
ULSS 6 - Ospedale Schiavonia °,71,-4,5,-2,8,235,97,+3)
ULSS 6 - Ospedale Piove di Sacco,0,0,0,0,0,1,0,0
ULSS 6 - Ospedale Cittadella,1,0,0,0,0,2,7,0
ULSS 6 - Ospedale Camposampiero,4,0,0,0,4,2,7,0
ULSS 6 - Ospedale Conselve,1,0,0,0,1,0,0,0
ULSS 7 - Ospedale Santorso °,114,0,6,-2,41,138,59,+2)
ULSS 7 - Ospedale Bassano,1,0,0,0,0,20,13,0
ULSS 7 - Ospedale Asiago,2,0,0,0,0,8,10,0
ULSS 8 - Ospedale Vicenza,45,0,11,0,15,98,82,0
ULSS 8 - Ospedale Noventa Vicentina,18,0,0,0,5,37,2,0
ULSS 8 - Ospedale Arzignano,0,0,0,0,0,0,1,0
ULSS 8 - Ospedale Valdagno,7,0,0,0,3,21,5,0
ULSS 9 - Ospedale Legnago,32,+2),4,-1,12,58,46,0
ULSS 9 - Ospedale San Bonifacio,3,0,1,+1),0,21,25,+1)
ULSS 9 - Ospedale Villafranca °,83,-1,8,+1),11,136,83,+1)
ULSS 9 - Ospedale Marzana,58,-3,0,0,27,29,3,0
ULSS 9 - Ospedale Bussolengo,23,-2,0,0,8,32,3,0
ULSS 9 - Ospedale San Biagio di Bovolone,3,0,0,0,3,0,0,0
Ospedale Sacro Cuore Don Calabria-Negrar,39,0,4,0,13,113,33,0
Ospedale P. Pederzoli-Peschiera,43,-3,1,0,11,77,38,0
Istituto Oncologico Veneto,0,0,0,0,0,2,1,0
TOTALE REGIONE VENETO,990,-22,110,-4,321,2631,1152,+11),
Struttura di ricovero,"Pazienti
presenti^",Δ paz. presenti,"Negativizzati
virologici
attualmente
ricoverati**",dimessi dal 21.2,"decessi dal
21.2*",Δ decessi,
Ospedale di Comunità Belluno (BL),19,0,1,21,10,0,
Ospedale di Comunità  Agordo (BL),26,-1,1,13,1,0,
Ospedale di Comunità di Castelfranco  (TV),2,0,0,3,0,0,
Struttura COVID - Vedelago (TV),16,+2),5,29,3,0,
Struttura COVID - Ormelle (TV),0,-4,0,24,4,0,
Ospedale di Comunità Vittorio Veneto (TV),14,+9),9,28,2,0,
Ospedale di Comunità Casa di Cura Rizzola (VE),2,-1,2,7,1,0,
Ospedale di Cinto Caomaggiore (VE),2,0,2,0,0,0,
Ospedale di Comunità Villa Maria (PD),9,-2,5,27,1,0,
Ospedale di Comunità Camposampiero (PD),13,0,7,13,1,0,
Ospedale di Comunità Marostica (VI),17,0,1,9,3,0,
