"Raggruppamenti sulla base del domicilio del
soggetto positivo SARS-CoV-2","TOTALE CASI
con tampone
positivo -dato
cumulativo","Δ Totale casi
positivi","Casi
attualmente
positivi","Deceduti (in
ospedale +
extra-
ospedale) -
dato
cumulativo","Negativizzati
virologici -
dato
cumulativo",,"Soggetti in
ISOLAMENTO
DOMICILIARE
(dato del 07.05
ore 20.00)",
ULSS 3 - Ospedale Venezia,0,0,26,15,0,0,0,
ULSS 3 - Ospedale Mirano,0,0,9,9,0,0,0,
ULSS 3 - Ospedale Dolo °,65,4,106,94,0,0,+1),
ULSS 3 - Ospedale Chioggia,0,0,2,3,0,0,0,
ULSS 3 - Ospedale di Noale,0,0,0,3,-9,0,0,
Ospedale Villa Salus (VE)°,19,0,95,10,-2,0,+1),
Casa di cura San Marco - Mestre (VE),0,0,0,0,0,0,0,
ULSS 4 - Ospedale Jesolo °,13,2,84,26,+2),0,+1),
Casa di Cura Rizzola,0,0,16,1,0,0,0,
ULSS 5 - Ospedale Rovigo,0,0,24,5,0,0,0,
ULSS 5 - Ospedale Trecenta °,15,0,26,24,-1,0,0,
ULSS 5 - Ospedale Adria,0,0,3,0,0,0,0,
ULSS 6 - Ospedale Schiavonia °,40,5,251,99,-6,0,0,
ULSS 6 - Ospedale Piove di Sacco,0,0,1,0,0,0,0,
ULSS 6 - Ospedale Cittadella,1,0,2,7,0,0,0,
ULSS 6 - Ospedale Camposampiero,0,0,3,7,0,0,0,
ULSS 6 - Ospedale Conselve,0,0,0,0,0,0,0,
Casa di cura Villa Maria (PD),0,0,0,0,0,0,0,
ULSS 7 - Ospedale Santorso °,46,2,201,68,-8,+1),+1),
ULSS 7 - Ospedale Bassano,0,0,20,13,0,0,0,
ULSS 7 - Ospedale Asiago,0,0,8,11,0,0,0,
ULSS 8 - Ospedale Vicenza,23,2,122,93,0,0,0,
ULSS 8 - Ospedale Noventa Vicentina,6,0,49,2,0,0,0,
ULSS 8 - Ospedale Arzignano,0,0,0,1,0,0,0,
ULSS 8 - Ospedale Valdagno,0,0,24,5,0,0,0,
ULSS 9 - Ospedale Legnago,10,1,65,49,0,0,0,
ULSS 9 - Ospedale San Bonifacio,7,0,26,25,+1),0,0,
ULSS 9 - Ospedale Villafranca °,68,5,150,94,-5,-1,+1),
ULSS 9 - Ospedale Marzana,18,0,47,5,+1),0,0,
ULSS 9 - Ospedale Bussolengo,16,0,41,3,+1),0,0,
ULSS 9 - Ospedale San Biagio di Bovolone,0,0,0,0,-1,0,0,
Ospedale Sacro Cuore Don Calabria-Negrar,13,3,124,35,0,0,+1),
Ospedale P. Pederzoli-Peschiera,9,1,85,38,-1,0,0,
Istituto Oncologico Veneto,0,0,2,1,0,0,0,
TOTALE REGIONE VENETO,446,42,2953,1.250,,-42,0,+7)
Struttura di ricovero,"Pazienti
attualmente
positivi",dimessi dal 21.2^,"decessi dal 21.2
*^",,"Δ paz.
attualmente
positivi",Δ decessi
Ospedale di Comunità Belluno (BL),12,26,15,,+1),+1)
Ospedale di Comunità  Agordo (BL),20,19,1,-2,0,
Ospedale di Comunità di Castelfranco  (TV),0,4,0,0,0,
Struttura COVID - Vedelago (TV),17,32,3,+2),0,
Struttura COVID - Ormelle (TV),0,24,4,0,0,
Ospedale di Comunità Vittorio Veneto (TV),7,30,2,+1),0,
Ospedale di Comunità SS. Giovanni e Paolo (VE),0,0,0,0,0,
Ospedale di Comunità Casa di Cura Rizzola (VE),0,11,1,0,0,
Ospedale di Cinto Caomaggiore (VE),1,0,0,0,0,
Ospedale di Comunità Villa Maria (PD),8,33,1,+3),0,
Ospedale di Comunità Camposampiero (PD),5,17,1,0,0,
Ospedale di Comunità Montagnana (PD),0,0,0,0,0,
Ospedale di Comunità Marostica (VI),12,14,3,-1,0,
TOTALE REGIONE VENETO,82,210,31,,+4),+1)
