"Raggruppamenti sulla base del domicilio del
soggetto positivo SARS-CoV-2","TOTALE CASI
con tampone
positivo -dato
cumulativo","Δ Totale casi
positivi","Casi
attualmente
positivi","Deceduti (in
ospedale +
extra-
ospedale) -
dato
cumulativo","Negativizzati
virologici -
dato
cumulativo",,"Soggetti in
ISOLAMENTO
DOMICILIARE
(dato del 11.05
ore 20.00)",
ULSS 4 - Ospedale Jesolo °,8,2,91,28,-4,0,+2),
Casa di Cura Rizzola,0,0,15,1,0,0,0,
ULSS 5 - Ospedale Rovigo,1,0,24,5,0,0,0,
ULSS 5 - Ospedale Trecenta °,13,0,30,25,0,0,+1),
ULSS 5 - Ospedale Adria,0,0,3,0,0,0,0,
ULSS 6 - Ospedale Schiavonia °,23,6,263,102,-4,0,+1),
ULSS 6 - Ospedale Piove di Sacco,1,0,1,0,0,0,0,
ULSS 6 - Ospedale Cittadella,0,0,2,7,0,0,0,
ULSS 6 - Ospedale Camposampiero,0,0,3,7,0,0,0,
ULSS 6 - Ospedale Conselve,0,0,0,0,0,0,0,
Casa di cura Villa Maria (PD),0,0,0,0,0,0,0,
ULSS 7 - Ospedale Santorso °,46,2,214,74,-1,0,0,
ULSS 7 - Ospedale Bassano,0,0,20,13,0,0,0,
ULSS 7 - Ospedale Asiago,0,0,8,11,0,0,0,
ULSS 8 - Ospedale Vicenza,28,2,132,94,0,0,0,
ULSS 8 - Ospedale Noventa Vicentina,4,0,52,2,0,0,0,
ULSS 8 - Ospedale Arzignano,0,0,0,1,0,0,0,
ULSS 8 - Ospedale Valdagno,0,0,23,5,0,0,0,
ULSS 9 - Ospedale Legnago,8,1,66,49,0,0,0,
ULSS 9 - Ospedale San Bonifacio,7,0,26,25,0,0,0,
ULSS 9 - Ospedale Villafranca °,55,1,165,98,+1),-1,0,
ULSS 9 - Ospedale Marzana,16,0,48,6,0,0,0,
ULSS 9 - Ospedale Bussolengo,12,0,46,3,+1),0,0,
ULSS 9 - Ospedale San Biagio di Bovolone,0,0,0,0,0,0,0,
Ospedale Sacro Cuore Don Calabria-Negrar,14,2,128,36,-1,0,+1),
Ospedale P. Pederzoli-Peschiera,7,2,88,38,-1,+1),0,
Istituto Oncologico Veneto,0,0,2,1,0,0,0,
Struttura di ricovero,"Pazienti
attualmente
positivi",dimessi dal 21.2^,"decessi dal 21.2
*^",,"Δ paz.
attualmente
positivi",Δ decessi,
Ospedale di Comunità Belluno (BL),15,26,16,,0,0,
Ospedale di Comunità  Agordo (BL),13,20,1,0,0,,
Ospedale di Comunità Alano di Piave (BL),2,0,0,0,0,,
Ospedale di Comunità di Castelfranco  (TV),0,5,0,0,0,,
Struttura COVID - Vedelago (TV),17,32,3,0,0,,
Struttura COVID - Ormelle (TV),0,24,4,0,0,,
Ospedale di Comunità Vittorio Veneto (TV),6,31,2,0,0,,
Ospedale di Comunità SS. Giovanni e Paolo (VE),0,0,0,0,0,,
Ospedale di Comunità Casa di Cura Rizzola (VE),0,11,1,0,0,,
Ospedale di Cinto Caomaggiore (VE),0,0,0,0,0,,
Ospedale di Comunità Villa Maria (PD),7,35,1,-1,0,,
Ospedale di Comunità Camposampiero (PD),6,17,1,+1),0,,
Ospedale di Comunità Montagnana (PD),0,0,0,0,0,,
Ospedale di Comunità Marostica (VI),8,14,4,0,0,,
Ospedale di Comunità Valleggio sul Mincio,0,0,0,0,0,,,
