ULSS 9 - Ospedale San Biagio di Bovolone,0,0,0,0,0,0,0,
Ospedale Sacro Cuore Don Calabria-Negrar,9,2,132,36,-1,+1),0,
Ospedale P. Pederzoli-Peschiera,6,2,98,38,0,0,0,
Istituto Oncologico Veneto,0,0,2,1,0,0,0,
Struttura di ricovero,"Pazientiattualmentepositivi",dimessi dal 21.2^,"decessi dal 21.2*^",,"Δ paz.attualmentepositivi",Δ decessi,
Ospedale di Comunità Belluno (BL),9,28,17,,0,0,
Ospedale di Comunità  Agordo (BL),11,24,1,+1),0,,
Ospedale di Comunità Alano di Piave (BL),0,0,0,0,0,,
Ospedale di Comunità di Castelfranco  (TV),0,5,0,0,0,,
Struttura COVID - Vedelago (TV),1,36,4,0,0,,
Struttura COVID - Ormelle (TV),0,24,4,0,0,,
Ospedale di Comunità Vittorio Veneto (TV),12,38,2,+2),0,,
Ospedale di Comunità SS. Giovanni e Paolo (VE),0,0,0,0,0,,
Ospedale di Comunità Casa di Cura Rizzola (VE),0,11,1,0,0,,
Ospedale di Cinto Caomaggiore (VE),1,0,0,0,0,,
Ospedale di Comunità Villa Maria (PD),2,37,1,0,0,,
Ospedale di Comunità Conselve (PD),0,0,0,0,0,,
Ospedale di Comunità Camposampiero (PD),5,19,1,0,0,,
Ospedale di Comunità Montagnana (PD),1,0,0,0,0,,
Ospedale di Comunità Marostica (VI),8,14,6,-1,+1),,
Ospedale di Comunità Valeggio sul Mincio,0,0,0,0,0,,
