CASI SARS-CoV-2 POSITIVI,,,,,,,
"Raggruppamenti sulla base del domicilio delsoggetto positivo SARS-CoV-2","TOTALE CASIcon tamponepositivo -datocumulativo","Δ Totale casipositivi","Casiattualmentepositivi","Deceduti (inospedale +extra-ospedale) -datocumulativo","Negativizzativirologici -datocumulativo",,"Soggetti inISOLAMENTODOMICILIARE(dato del 08.07ore 20.00)"
Padova (escluso domiciliati Vo'),3887,+4),66,309,3512,,75
Cluster domiciliati Comune di Vò,88,0,0,5,83,,
Treviso,2692,+1),57,326,2309,209,
Venezia,2692,+1),27,302,2363,207,
Verona,5132,+1),38,577,4517,366,
Vicenza,2874,0,46,354,2474,62,
Belluno,1197,0,21,113,1063,129,
Rovigo,445,+1),2,36,407,62,
Domicilio fuori Veneto,330,-1,116,15,199,,
Assegnazione in corso,21,0,19,0,2,,
"",,,,,,,,
Struttura di ricovero,"Pazientiattualmentepositivi in AREANON CRITICA","Pazientiattualmentepositivi inTERAPIAINTENSIVA","dimessi dal 21.2^","decessi dal21.2*^",,"Δ pazientiattualmentepositivi  in areanon critica","Δ  pazientiattualmentepositivi in Ter Int",Δ decessi
ULSS 8 - Ospedale Lonigo,0,0,0,0,0,0,0,
ULSS 8 - Ospedale Valdagno,0,0,23,5,0,0,0,
ULSS 9 - Ospedale Legnago,1,0,78,51,0,0,0,
ULSS 9 - Ospedale San Bonifacio,0,0,34,26,0,0,0,
ULSS 9 - Ospedale Villafranca °,0,0,201,119,0,0,0,
ULSS 9 - Ospedale Marzana,0,0,54,8,0,0,0,
ULSS 9 - Ospedale Bussolengo,2,0,97,9,-1,0,0,
ULSS 9 - Ospedale San Biagio di Bovolone,0,0,9,0,0,0,0,
ULSS 9 - Ospedale Malcesine,0,0,0,0,0,0,0,
Ospedale Sacro Cuore Don Calabria-Negrar,0,0,152,39,0,0,0,
Ospedale P. Pederzoli-Peschiera,0,0,108,41,0,0,0,
Casa di cura Villa Garda (VR),0,0,0,0,0,0,0,
Istituto Oncologico Veneto,1,0,2,1,0,0,0,
"",,,,,,
Struttura di ricovero,"Pazientiattualmentepositivi",dimessi dal 21.2^,"decessi dal 21.2*^",,"Δ paz.attualmentepositivi",Δ decessi
Ospedale di Comunità Belluno (BL),0,35,17,,0,0
Ospedale di Comunità  Agordo (BL),0,33,1,0,0,
Ospedale di Comunità- Auronzo (BL),0,0,0,0,0,
Ospedale di Comunità Alano di Piave (BL),0,0,0,0,0,
Ospedale di Comunità di Castelfranco  (TV),0,5,0,0,0,
Struttura COVID - Vedelago (TV),0,54,4,0,0,
Struttura COVID - Ormelle (TV),0,24,4,0,0,
Ospedale di Comunità Vittorio Veneto (TV),0,58,2,0,0,
Ospedale di Comunità SS. Giovanni e Paolo (VE),0,1,0,0,0,
Ospedale di Comunità Casa di Cura Rizzola (VE),0,11,1,0,0,
Ospedale di Cinto Caomaggiore (VE),0,0,0,0,0,
Ospedale di Comunità Civitas vitae (PD),0,1,1,0,0,
Ospedale di Comunità Villa Maria (PD),0,40,1,0,0,
Ospedale di Comunità Camposampiero (PD),0,27,2,0,0,
"Ospedale di Comunità Moretti BonoraCamposampiero (PD)",0,1,0,0,0,
Ospedale di Comunità Montagnana (PD),1,0,0,0,0,
Ospedale di Comunità Marostica (VI),0,22,9,-1,0,
Ospedale di Comunità Valeggio sul Mincio (VR),0,0,0,0,0,
Ospedale di comunità Tregnago (VR),0,0,0,0,0,
